bus_number,route_number,progress_rate,distance_from_stop,number_of_stops_away,latitude,longitude,aimed_arrival_time,expected_arrival_time,estimated_capacity,estimated_count,event_time,delay,availabe_seats
MTA NYCT_7432,MTA NYCT_Q32,noProgress,0,0,40.749485,-73.991046,2024-12-01T16:07:00.432-05:00,2024-12-01T16:12:52.422-05:00,80,1,1733087571.619724,-351990,79
MTA NYCT_5285,MTA NYCT_BX1,normalProgress,10,0,40.858815,-73.898924,2024-12-01T16:09:55.949-05:00,2024-12-01T16:12:52.902-05:00,0,0,1733087572.0041542,-176953,0
MTA NYCT_5854,MTA NYCT_BX1,normalProgress,12,0,40.879431,-73.885785,2024-12-01T15:31:00.922-05:00,2024-12-01T16:12:57.156-05:00,0,0,1733087572.004273,-2516234,0
MTA NYCT_5818,MTA NYCT_BX1,normalProgress,22,0,40.880235,-73.885897,2024-12-01T16:14:35.968-05:00,2024-12-01T16:12:52.902-05:00,0,0,1733087572.004304,103066,0
MTA NYCT_1213,MTA NYCT_BX1,normalProgress,63,0,40.88069,-73.908176,2024-12-01T16:19:00.955-05:00,2024-12-01T16:12:56.628-05:00,0,0,1733087572.0043368,364327,0
MTA NYCT_1277,MTA NYCT_BX1,normalProgress,101,0,40.834922,-73.917524,2024-12-01T16:11:30.930-05:00,2024-12-01T16:13:27.292-05:00,0,0,1733087572.0043678,-116362,0
MTA NYCT_1267,MTA NYCT_BX1,normalProgress,117,0,40.849855,-73.905899,2024-12-01T16:11:00.934-05:00,2024-12-01T16:12:59.346-05:00,0,0,1733087572.004395,-118412,0
MTA NYCT_1285,MTA NYCT_BX1,normalProgress,119,0,40.812664,-73.929386,2024-12-01T16:11:16.942-05:00,2024-12-01T16:12:52.902-05:00,0,0,1733087572.004422,-95960,0
MTA NYCT_5352,MTA NYCT_BX1,normalProgress,151,0,40.85259,-73.903263,2024-12-01T16:16:49.974-05:00,2024-12-01T16:13:55.984-05:00,0,0,1733087572.004446,173990,0
MTA NYCT_5442,MTA NYCT_BX1,normalProgress,157,0,40.871326,-73.889238,2024-12-01T16:08:41.963-05:00,2024-12-01T16:13:21.988-05:00,0,0,1733087572.004473,-280025,0
MTA NYCT_1266,MTA NYCT_BX1,normalProgress,349,0,40.811204,-73.927444,2024-12-01T15:59:16.916-05:00,2024-12-01T16:13:56.835-05:00,0,0,1733087572.004499,-879919,0
MTA NYCT_8217,MTA NYCT_S53,normalProgress,0,0,40.628778,-74.116161,2024-12-01T16:09:00.338-05:00,2024-12-01T16:12:53.298-05:00,80,23,1733087572.411393,-232960,57
MTA NYCT_8207,MTA NYCT_S53,normalProgress,0,0,40.633892,-74.125403,2024-12-01T16:13:30.377-05:00,2024-12-01T16:12:53.298-05:00,80,12,1733087572.411544,37079,68
MTA NYCT_7082,MTA NYCT_S53,normalProgress,4,0,40.596816,-74.070177,2024-12-01T16:01:54.344-05:00,2024-12-01T16:12:53.298-05:00,0,0,1733087572.411594,-658954,0
MTA NYCT_7031,MTA NYCT_S53,normalProgress,9,0,40.619593,-74.029658,2024-12-01T16:00:41.351-05:00,2024-12-01T16:12:53.298-05:00,0,0,1733087572.4116302,-731947,0
MTA NYCT_8241,MTA NYCT_S53,normalProgress,33,0,40.613166,-74.100123,2024-12-01T16:13:25.334-05:00,2024-12-01T16:12:53.298-05:00,80,12,1733087572.411665,32036,68
MTA NYCT_8253,MTA NYCT_S53,normalProgress,54,0,40.639484,-74.132216,2024-12-01T15:43:00.383-05:00,2024-12-01T16:12:53.298-05:00,0,0,1733087572.411699,-1792915,0
MTA NYCT_7012,MTA NYCT_S53,normalProgress,127,0,40.597433,-74.071124,2024-12-01T16:13:54.370-05:00,2024-12-01T16:13:16.455-05:00,0,0,1733087572.411734,37915,0
MTA NYCT_8481,MTA NYCT_S53,normalProgress,196,0,40.619288,-74.025458,2024-12-01T16:02:13.363-05:00,2024-12-01T16:13:35.878-05:00,0,0,1733087572.411768,-682515,0
